Source;Target;Label;Type
30892;30606;The Poseidon Adventure;Undirected
35492;31201;The Poseidon Adventure;Undirected
35492;11285;The Poseidon Adventure;Undirected
35492;30562;The Poseidon Adventure;Undirected
35492;426;The Poseidon Adventure;Undirected
35492;30003;The Poseidon Adventure;Undirected
35492;37725;The Poseidon Adventure;Undirected
35492;29880;The Poseidon Adventure;Undirected
35492;33311;The Poseidon Adventure;Undirected
35492;30606;The Poseidon Adventure;Undirected
31201;11285;The Poseidon Adventure;Undirected
31201;30562;The Poseidon Adventure;Undirected
31201;426;The Poseidon Adventure;Undirected
31201;30003;The Poseidon Adventure;Undirected
31201;37725;The Poseidon Adventure;Undirected
31201;29880;The Poseidon Adventure;Undirected
31201;33311;The Poseidon Adventure;Undirected
31201;30606;The Poseidon Adventure;Undirected
11285;30562;The Poseidon Adventure;Undirected
11285;426;The Poseidon Adventure;Undirected
11285;30003;The Poseidon Adventure;Undirected
11285;37725;The Poseidon Adventure;Undirected
11285;29880;The Poseidon Adventure;Undirected
11285;33311;The Poseidon Adventure;Undirected
11285;30606;The Poseidon Adventure;Undirected
30562;426;The Poseidon Adventure;Undirected
30562;30003;The Poseidon Adventure;Undirected
30562;37725;The Poseidon Adventure;Undirected
30562;29880;The Poseidon Adventure;Undirected
30562;33311;The Poseidon Adventure;Undirected
30562;30606;The Poseidon Adventure;Undirected
426;30003;The Poseidon Adventure;Undirected
426;37725;The Poseidon Adventure;Undirected
426;29880;The Poseidon Adventure;Undirected
426;33311;The Poseidon Adventure;Undirected
426;30606;The Poseidon Adventure;Undirected
30003;37725;The Poseidon Adventure;Undirected
30003;29880;The Poseidon Adventure;Undirected
30003;33311;The Poseidon Adventure;Undirected
30003;30606;The Poseidon Adventure;Undirected
37725;29880;The Poseidon Adventure;Undirected
37725;33311;The Poseidon Adventure;Undirected
37725;30606;The Poseidon Adventure;Undirected
29880;33311;The Poseidon Adventure;Undirected
29880;30606;The Poseidon Adventure;Undirected
33311;30606;The Poseidon Adventure;Undirected
423;40981;The Informer;Undirected
423;47170;The Informer;Undirected
423;39420;The Informer;Undirected
423;29790;The Informer;Undirected
423;38458;The Informer;Undirected
40981;47170;The Informer;Undirected
40981;39420;The Informer;Undirected
40981;29790;The Informer;Undirected
40981;38458;The Informer;Undirected
47170;39420;The Informer;Undirected
47170;29790;The Informer;Undirected
47170;38458;The Informer;Undirected
39420;29790;The Informer;Undirected
39420;38458;The Informer;Undirected
29790;38458;The Informer;Undirected
31218;31708;Vacation;Undirected
31218;30230;Vacation;Undirected
31218;39274;Vacation;Undirected
31218;231;Vacation;Undirected
31218;33084;Vacation;Undirected
31218;43671;Vacation;Undirected
31218;31496;Vacation;Undirected
31708;30230;Vacation;Undirected
31708;39274;Vacation;Undirected
31708;231;Vacation;Undirected
31708;33084;Vacation;Undirected
31708;43671;Vacation;Undirected
31708;31496;Vacation;Undirected
30230;39274;Vacation;Undirected
30230;231;Vacation;Undirected
30230;33084;Vacation;Undirected
30230;43671;Vacation;Undirected
30230;31496;Vacation;Undirected
39274;231;Vacation;Undirected
39274;33084;Vacation;Undirected
39274;43671;Vacation;Undirected
39274;31496;Vacation;Undirected
231;33084;Vacation;Undirected
231;43671;Vacation;Undirected
231;31496;Vacation;Undirected
33084;43671;Vacation;Undirected
33084;31496;Vacation;Undirected
43671;31496;Vacation;Undirected
3249;39608;Dolls;Undirected
679;36423;Earthquake;Undirected
679;32543;Earthquake;Undirected
679;29801;Earthquake;Undirected
679;33138;Earthquake;Undirected
679;29748;Earthquake;Undirected
679;35448;Earthquake;Undirected
679;30838;Earthquake;Undirected
679;33346;Earthquake;Undirected
679;29940;Earthquake;Undirected
679;38435;Earthquake;Undirected
36423;32543;Earthquake;Undirected
36423;29801;Earthquake;Undirected
36423;33138;Earthquake;Undirected
36423;29748;Earthquake;Undirected
36423;35448;Earthquake;Undirected
36423;30838;Earthquake;Undirected
36423;33346;Earthquake;Undirected
36423;29940;Earthquake;Undirected
36423;38435;Earthquake;Undirected
32543;29801;Earthquake;Undirected
32543;33138;Earthquake;Undirected
32543;29748;Earthquake;Undirected
32543;35448;Earthquake;Undirected
32543;30838;Earthquake;Undirected
32543;33346;Earthquake;Undirected
32543;29940;Earthquake;Undirected
32543;38435;Earthquake;Undirected
29801;33138;Earthquake;Undirected
29801;29748;Earthquake;Undirected
29801;35448;Earthquake;Undirected
29801;30838;Earthquake;Undirected
29801;33346;Earthquake;Undirected
29801;29940;Earthquake;Undirected
29801;38435;Earthquake;Undirected
33138;29748;Earthquake;Undirected
33138;35448;Earthquake;Undirected
33138;30838;Earthquake;Undirected
33138;33346;Earthquake;Undirected
33138;29940;Earthquake;Undirected
33138;38435;Earthquake;Undirected
29748;35448;Earthquake;Undirected
29748;30838;Earthquake;Undirected
29748;33346;Earthquake;Undirected
29748;29940;Earthquake;Undirected
29748;38435;Earthquake;Undirected
35448;30838;Earthquake;Undirected
35448;33346;Earthquake;Undirected
35448;29940;Earthquake;Undirected
35448;38435;Earthquake;Undirected
30838;33346;Earthquake;Undirected
30838;29940;Earthquake;Undirected
30838;38435;Earthquake;Undirected
33346;29940;Earthquake;Undirected
33346;38435;Earthquake;Undirected
29940;38435;Earthquake;Undirected
33118;36409;The Return of the King;Undirected
33118;32369;The Return of the King;Undirected
33118;30606;The Return of the King;Undirected
33118;32558;The Return of the King;Undirected
33118;29769;The Return of the King;Undirected
36409;32369;The Return of the King;Undirected
36409;30606;The Return of the King;Undirected
36409;32558;The Return of the King;Undirected
36409;29769;The Return of the King;Undirected
32369;30606;The Return of the King;Undirected
32369;32558;The Return of the King;Undirected
32369;29769;The Return of the King;Undirected
30606;32558;The Return of the King;Undirected
30606;29769;The Return of the King;Undirected
32558;29769;The Return of the King;Undirected
29769;29710;The Hobbit;Undirected
29769;36409;The Hobbit;Undirected
29710;36409;The Hobbit;Undirected
34149;29996;King Kong;Undirected
34149;29891;King Kong;Undirected
34149;31140;King Kong;Undirected
34149;848;King Kong;Undirected
29996;29891;King Kong;Undirected
29996;31140;King Kong;Undirected
29996;848;King Kong;Undirected
29891;31140;King Kong;Undirected
29891;848;King Kong;Undirected
31140;848;King Kong;Undirected
61182;39109;The Raven;Undirected
61182;61183;The Raven;Undirected
61182;29704;The Raven;Undirected
61182;61180;The Raven;Undirected
61182;29956;The Raven;Undirected
61182;29989;The Raven;Undirected
61182;61181;The Raven;Undirected
61182;30427;The Raven;Undirected
39109;61183;The Raven;Undirected
39109;29704;The Raven;Undirected
39109;61180;The Raven;Undirected
39109;29956;The Raven;Undirected
39109;29989;The Raven;Undirected
39109;61181;The Raven;Undirected
39109;30427;The Raven;Undirected
61183;29704;The Raven;Undirected
61183;61180;The Raven;Undirected
61183;29956;The Raven;Undirected
61183;29989;The Raven;Undirected
