Source;Target;Label;Type
10;657;Steve Buscemi;Undirected
10;74;Steve Buscemi;Undirected
10;77;Steve Buscemi;Undirected
10;79;Steve Buscemi;Undirected
1008;1124;Steve Buscemi;Undirected
1008;1200;Steve Buscemi;Undirected
1008;1299;Steve Buscemi;Undirected
1008;1842;Steve Buscemi;Undirected
1008;339;Steve Buscemi;Undirected
1008;657;Steve Buscemi;Undirected
1008;74;Steve Buscemi;Undirected
1008;77;Steve Buscemi;Undirected
1008;79;Steve Buscemi;Undirected
1124;1200;Steve Buscemi;Undirected
1124;1299;Steve Buscemi;Undirected
1124;1842;Steve Buscemi;Undirected
1124;339;Steve Buscemi;Undirected
1124;657;Steve Buscemi;Undirected
1124;74;Steve Buscemi;Undirected
1124;77;Steve Buscemi;Undirected
1124;79;Steve Buscemi;Undirected
1200;1299;Steve Buscemi;Undirected
1200;1842;Steve Buscemi;Undirected
1200;339;Steve Buscemi;Undirected
1200;657;Steve Buscemi;Undirected
1200;74;Steve Buscemi;Undirected
1200;77;Steve Buscemi;Undirected
1200;79;Steve Buscemi;Undirected
1299;1842;Steve Buscemi;Undirected
1299;339;Steve Buscemi;Undirected
1299;657;Steve Buscemi;Undirected
1299;74;Steve Buscemi;Undirected
1299;77;Steve Buscemi;Undirected
1299;79;Steve Buscemi;Undirected
1842;339;Steve Buscemi;Undirected
1842;657;Steve Buscemi;Undirected
1842;74;Steve Buscemi;Undirected
1842;77;Steve Buscemi;Undirected
1842;79;Steve Buscemi;Undirected
339;657;Steve Buscemi;Undirected
339;74;Steve Buscemi;Undirected
339;77;Steve Buscemi;Undirected
339;79;Steve Buscemi;Undirected
657;74;Steve Buscemi;Undirected
657;77;Steve Buscemi;Undirected
657;79;Steve Buscemi;Undirected
74;77;Steve Buscemi;Undirected
74;79;Steve Buscemi;Undirected
77;79;Steve Buscemi;Undirected
10;255;Jean Simmons;Undirected
10;424;Jean Simmons;Undirected
255;424;Jean Simmons;Undirected
10;1065;Keith David;Undirected
10;2266;Keith David;Undirected
10;319;Keith David;Undirected
10;34;Keith David;Undirected
10;416;Keith David;Undirected
10;56;Keith David;Undirected
10;677;Keith David;Undirected
10;74;Keith David;Undirected
10;829;Keith David;Undirected
1065;2266;Keith David;Undirected
1065;319;Keith David;Undirected
1065;34;Keith David;Undirected
1065;416;Keith David;Undirected
1065;56;Keith David;Undirected
1065;677;Keith David;Undirected
1065;74;Keith David;Undirected
1065;829;Keith David;Undirected
2266;319;Keith David;Undirected
2266;34;Keith David;Undirected
2266;416;Keith David;Undirected
2266;56;Keith David;Undirected
2266;677;Keith David;Undirected
2266;74;Keith David;Undirected
2266;829;Keith David;Undirected
319;34;Keith David;Undirected
319;416;Keith David;Undirected
319;56;Keith David;Undirected
319;677;Keith David;Undirected
319;74;Keith David;Undirected
319;829;Keith David;Undirected
34;416;Keith David;Undirected
34;56;Keith David;Undirected
34;677;Keith David;Undirected
34;74;Keith David;Undirected
34;829;Keith David;Undirected
416;56;Keith David;Undirected
416;677;Keith David;Undirected
416;74;Keith David;Undirected
416;829;Keith David;Undirected
56;677;Keith David;Undirected
56;74;Keith David;Undirected
56;829;Keith David;Undirected
677;74;Keith David;Undirected
677;829;Keith David;Undirected
74;829;Keith David;Undirected
100;257;Joan Bennett;Undirected
100;1388;Doris Lloyd;Undirected
1003;1843;Kenji Sawada;Undirected
1004;2197;Amber Benson;Undirected
1005;2167;Benno FÃ¼rmann;Undirected
1005;1748;Peter Weller;Undirected
1005;729;Peter Weller;Undirected
1748;729;Peter Weller;Undirected
1005;121;Mark Addy;Undirected
1005;121;Heath Ledger;Undirected
1005;1303;Heath Ledger;Undirected
1005;2348;Heath Ledger;Undirected
1005;98;Heath Ledger;Undirected
121;1303;Heath Ledger;Undirected
121;2348;Heath Ledger;Undirected
121;98;Heath Ledger;Undirected
1303;2348;Heath Ledger;Undirected
1303;98;Heath Ledger;Undirected
2348;98;Heath Ledger;Undirected
1005;121;Shannyn Sossamon;Undirected
1005;2369;Shannyn Sossamon;Undirected
