id;Label;
29499;Jack Lemmon;
29502;John Cleese;
29504;Jerry Lewis;
29507;James Cagney;
29509;John Hagelin;
29510;John Wayne;
29511;John Sayles;
29512;James Spader;
29513;Jennifer Lopez;
29515;Joseph Cotten;
29520;James Stewart;
29521;James Randi;
29522;Jet Li;
29524;John Belushi;
29528;Jason Alexander;
29530;Jay Leno;
29531;Jon Voight;
29532;Julia Roberts;
29535;Jeannine Taylor;
29536;Keanu Reeves;
29537;Kyle MacLachlan;
29538;Kevin Spacey;
29539;Kevin Bacon;
29542;Kylie Minogue;
29543;Kareem Abdul-Jabbar;
29545;Keith Moon;
29546;Kenji Sahara;
29548;Kelsey Grammer;
29552;Khandi Alexander;
29554;Klaus Barbie;
29555;Klaus Maria Brandauer;
29557;Kirsten Dunst;
29558;Leslie Caron;
29560;Leni Riefenstahl;
29565;Lucille Ball;
29566;Lee Marvin;
29569;Lou Ferrigno;
29571;Liv Ullmann;
29572;Mary Pickford;
29574;Morton Downey; Jr.
29575;Martin Scorsese;
29577;Marilyn Monroe;
29578;Mariah Carey;
29579;Michael Palin;
29581;Marlon Brando;
29582;Miranda Richardson;
29583;Mel Brooks;
29586;Michael Jordan;
29588;Morgan Freeman;
29594;Nicole Kidman;
29597;Nastassja Kinski;
296;Michelle Williams;
29601;Oliver Stone;
29602;Orson Welles;
29606;PenÃ©lope Cruz;
29607;Pamela Anderson;
29609;Peter Cook;
29610;Peter Falk;
29612;Paul Reubens;
29614;Peter Sellers;
29615;Patrick Macnee;
29619;Quentin Tarantino;
29621;Roman PolaÅski;
29622;Ronald Reagan;
29624;Richard Petty;
29625;Robert De Niro;
29629;Russell Crowe;
29633;Rudy Giuliani;
29637;Rob Reiner;
29638;Robin Wright Penn;
29641;Robbie Coltrane;
29643;Shannon Elizabeth;
29645;Sean Connery;
29646;Steven Spielberg;
29647;Spike Lee;
29648;Spike Jonze;
29651;Sarah Michelle Gellar;
29654;Salma Hayek;
29659;Stephen Hawking;
29661;Sandra Bullock;
29663;Stan Lee;
29667;Terry Gilliam;
29671;Tom Cruise;
29674;Tim Curry;
29678;Vivien Leigh;
29679;Woody Allen;
29681;Walt Disney;
29685;William Shatner;
29686;Wallace Shawn;
29688;Whitney Houston;
29689;Winona Ryder;
29696;Warren Mitchell;
29697;Kevin J. Anderson;
29700;Denise Richards;
29702;Rutger Hauer;
29704;Jack Nicholson;
29705;Micky Dolenz;
29707;Jean Reno;
29708;Natalie Portman;
29710;Otto Preminger;
29713;Cary Grant;
29714;Mike Tyson;
29718;Orlando Bloom;
29720;Alan Rickman;
29721;Jennifer Aniston;
29723;John Thaw;
29725;Ingrid Bergman;
29726;Al Pacino;
29731;Clark Gable;
29732;Christopher Lambert;
29733;Cameron Diaz;
29734;Dustin Hoffman;
29736;Gillian Anderson;
29737;David Duchovny;
29738;Elizabeth Taylor;
29740;Grace Kelly;
29741;Gwyneth Paltrow;
29742;Max Ernst;
29743;Sophie Marceau;
29744;Buster Keaton;
29745;Sharon Stone;
29747;Ashley Judd;
29748;Ava Gardner;
29750;Rebecca De Mornay;
29751;Barbara Stanwyck;
29752;Katharine Hepburn;
29753;Clint Eastwood;
29755;Tom Hanks;
29756;Brooke Shields;
29758;Laurence Olivier;
29760;Andie MacDowell;
29761;Cybill Shepherd;
29763;Albert Finney;
29764;Anthony Quinn;
29765;Billy Joel;
29767;Harrison Ford;
29768;Vittorio Gassman;
29769;John Huston;
29770;Mel Gibson;
29773;Carole Lombard;
29774;Gary Cooper;
29775;Thora Birch;
29776;Glenn Close;
29777;Sophia Loren;
29778;Helen Hunt;
29780;Emmanuelle Seigner;
29782;Mel Blanc;
29783;Brad Pitt;
29786;Paul Muni;
29787;Sacha Baron Cohen;
29788;GÃ©rard Depardieu;
29790;Victor McLaglen;
29791;Catherine Deneuve;
29792;Jean-Paul Belmondo;
29794;Spencer Tracy;
29795;Janet Gaynor;
29797;Richard Burton;
29798;Joan Crawford;
298;Dean Jones;
29800;Sidney Poitier;
29801;Charlton Heston;
29802;Jodie Foster;
29803;Dudley Moore;
29804;Henry Fonda;
29805;Milton Berle;
29808;Ivor Novello;
29812;Goldie Hawn;
29815;Leonard Rossiter;
29820;Dan Aykroyd;
29821;Paul Newman;
29823;Eleanor Bron;
29824;Linda Lovelace;
29835;William Hartnell;
29837;Patrick Troughton;
29839;Meg Ryan;
29840;Terry Jones;
29843;Douglas Smith;
29847;Eric Idle;
29849;Audrey Hepburn;
29850;Antonio Banderas;
29851;Kate Winslet;
29852;Leonardo DiCaprio;
29854;Drew Carey;
29855;Joan Collins;
29857;Robin Williams;
29858;Olivia Newton-John;
29859;Val Kilmer;
29862;Christopher Lee;
29863;Ray Milland;
29864;Leonard Nimoy;
29865;Majel Barrett;
29867;Hayden Christensen;
29869;David Niven;
29872;John Travolta;
29873;Samuel L. Jackson;
29874;James Earl Jones;
29875;Eddie Murphy;
29877;Scott Bakula;
29879;Whoopi Goldberg;
29880;Leslie Nielsen;
29882;Juliette Binoche;
29886;Gwen Verdon;
29887;Jennifer Connelly;
29891;Jeff Bridges;
29893;Fred Gwynne;
29896;Tony Robinson;
29900;Judy Garland;
29901;Ron Howard;
29902;Liza Minnelli;
29903;James Dean;
29904;Margaret Rutherford;
29909;Kevin Smith;
29910;Alanis Morissette;
29917;Dan Castellaneta;
29918;Rod Steiger;
29919;Claudette Colbert;
29920;Norma Shearer;
29921;Sylvester Stallone;
29922;Michael Caine;
29923;Charles Laughton;
29924;Yul Brynner;
29925;Alec Guinness;
29927;Judith GodrÃ¨che;
29928;Oprah Winfrey;
29929;Robert Redford;
29930;Simone Signoret;
29932;Raymond Burr;
29934;Phil Spector;
29938;Michelle Pfeiffer;
29939;Warren Beatty;
29940;Walter Matthau;
29942;Deborah Kerr;
29943;Linda Hamilton;
29945;Meryl Streep;
29946;Stephen Fry;
29947;Greta Garbo;
29948;Bette Davis;
29949;Jane Fonda;
29950;Sissy Spacek;
29951;Claude Rains;
29952;Greer Garson;
29953;Fredric March;
29956;Peter Lorre;
29957;Vanessa Redgrave;
29959;Liam Neeson;
29960;Ginger Rogers;
29961;Bruce Willis;
29963;Doodles Weaver;
29964;Fred Astaire;
29965;Sigourney Weaver;
29969;Brian Froud;
29970;Patty Hearst;
29972;Zoe Wanamaker;
29973;Jesse Ventura;
29977;Jean Hersholt;
29980;Robin Givens;
29985;Slim Pickens;
