Id;Label
1391;Anna
1392;Music Box
1393;But I'm a Cheerleader
1394;The Grifters
1395;Mr. & Mrs. Bridge
1396;Indochine
1397;Taking Lives
1398;Father of the Bride
1399;Faster, Pussycat! Kill! Kill!
140;I, the Jury
1400;Wilson
1401;Berserker
1402;Berserker
1403;Suddenly
1404;Whistle!
1405;Promised Land
1406;Phone Booth
1407;Teaching Mrs. Tingle
1408;S.W.A.T.
1409;Tom & Viv
1410;Little Women
1411;Marvin's Room
1412;El Cid
1413;True Colors
1414;Arsenic and Old Lace
1415;New York Minute
1416;Antonia: A Portrait of the Woman
1417;Catwoman
1418;Une robe d'Ã©tÃ©
1419;Princess Nicotine
142;Guess Who's Coming to Dinner
1420;Road
1421;Under My Skin
1422;Olympia
1423;Sophie's World
1424;Omagh
1425;Resident Evil: Apocalypse
1426;61*
1427;Cobb
1428;Spartan
1429;Porky's Duck Hunt
143;Dune
1430;The Navigators
1431;Symbiosis
1432;Total Eclipse
1433;A Midwinter's Tale
1434;Sitcom
1435;Caravan of Courage: An Ewok Adventure
1436;Ewoks: The Battle for Endor
1437;The Black Cauldron
1438;Wonderful Life
1439;La FÃ©e aux Choux
144;Signs
1440;Swiss Family Robinson
1441;Terrorists: The Kids They Sentenced
1442;Ã Hauteur d'homme
1443;Suzhou River
1444;He's a Woman, She's a Man
1445;Once a Thief
1446;Rouge
1447;All's Well, Ends Well
1448;Outland
1449;Double Jeopardy
145;Aladdin
1450;Judgment Night
1451;Dance with a Stranger
1452;Les amitiÃ©s particuliÃ¨res
1453;Twilight
1454;Endless Love
1455;Collateral
1456;Dead Ringers
1457;Edvard Munch
1458;Savior
1459;Alice
146;The Cheat
1460;Alice
1461;åå¹´å¥³åª
1462;10
1463;Culloden
1465;Boiler Room
1466;Fetishes
1467;Kolberg
1468;Point of Order
1469;Young Mr. Lincoln
147;Sullivan's Travels
1470;42nd Street
1471;Sebastian
1472;Babylon 5: The Gathering
1473;Westinghouse Works, 1904
1474;The Libertine
1475;Seduction: The Cruel Woman
1476;Varning fÃ¶r JÃ¶nssonligan
1477;JÃ¶nssonligan och Dynamit-Harry
1478;JÃ¶nssonligan dyker upp igen
1479;JÃ¶nssonligan pÃ¥ Mallorca
148;Civilization
1480;JÃ¶nssonligan och den svarta diamanten
1481;JÃ¶nssonligans stÃ¶rsta kupp
1482;Somebody Up There Likes Me
1483;Brother, Can You Spare a Dime?
1484;Frantic
1485;Zulu
1486;Bettie Page: Dark Angel
1487;Armed and Dangerous
1488;Look Who's Talking
1489;Guinevere
149;Cologne: From the Diary of Ray and Esther
1490;Always
1491;Cyclo
1492;Looney Tunes: Back in Action
1493;Air America
1494;Kama Sutra: A Tale of Love
1496;Tobacco Road
1497;Freeway
1498;Shampoo
1499;The Heartbreak Kid
150;Cops
1500;God's Angry Man
1501;Harry Potter and the Half-Blood Prince
1502;Duck and Cover
1503;Boris and Natasha
1504;The Singing Detective
1505;In the Time of the Butterflies
1507;Crumb
1508;Happiness
1509;Ararat
151;David Holzman's Diary
1510;Stray Dog
1511;The Bourne Supremacy
1512;Sleepover
1513;Tom and Jerry
1514;Quatermass and the Pit
1515;The Gambler
1516;Avalon
1517;Kismet
1518;Papillon
1519;The Count of Monte Cristo
152;Detour
1520;The Count of Monte Cristo
1521;To Wong Foo, Thanks for Everything! Julie Newmar
1522;Harold & Kumar Go to White Castle
1523;1984
1524;Roots
1525;Nineteen Eighty-Four
1526;Spider
1527;This Island Earth
1528;The Crow: City of Angels
1529;The Crow: Salvation
153;Double Indemnity
1530;Ong-Bak: Muay Thai Warrior
1531;Escaflowne
1532;Kronos
1533;Destination Moon
1534;Mannequin
1535;Murphy's War
1536;Gone in Sixty Seconds
1537;Hullabaloo
1538;Breakin' All the Rules
1539;No Way Out
154;E.T. the Extra-Terrestrial
1540;Dans une galaxie prÃ¨s de chez vous
1541;PT 109
1542;Breaker Morant
1543;The Portrait of a Lady
1544;Stitch! The Movie
1545;Gas Light
1546;Celebrity
1548;Spokane
1549;Robots
155;Easy Rider
1550;The Beast from 20,000 Fathoms
1551;Magic
1552;Peyton Place
1553;It! The Terror from Beyond Space
1554;X
1555;Vagabond
1556;Antwone Fisher
1557;Evolution
1558;Public Toilet
1559;Team America: World Police
156;Eaux d'artifice
1560;AVP: Alien vs. Predator
1561;Road House
1562;The Magician
1563;Brewster's Millions
1564;Munna Bhai M.B.B.S.
1565;Spellbound
1566;Foxfire
1567;Caveman
1568;Clockwise
1569;The Three Musketeers
157;El Norte
1570;Chopper
1571;Â¡Three Amigos!
1572;Startup.com
1573;The Emperor's Shadow
1574;Circus
1575;Pennies From Heaven
1576;Win, Lose and Kaboom
1577;1900
1578;Happy Birthday, Wanda June
1579;Casualties of Love: The Long Island Lolita Story
158;The Fall of the House of Usher
1580;Scorpio Rising
1581;Real Life
1582;Chicken
1583;Alice in Wonderland
1584;Berkeley Square
1585;MASH
1586;The Super Dimension Fortress Macross II: Lovers, Again
1587;Daylight
1588;Rugrats Go Wild!
1589;The Gun in Betty Lou's Handbag
159;Fantasia
1590;Â¡VÃ¡monos con Pancho Villa!
1591;I Am Curious
1592;Orlando
1593;All the Queen's Men
1594;Shot
1595;Restless
1596;Dinosaur
1597;Exorcist: The Beginning
1598;Intimacy
1599;Somewhere in Time
16;Insert
160;Fatty's Tintype Tangle
1600;Cars
1601;His Majesty O'Keefe
1602;Legend
1603;Chronos
1604;Cube 2: Hypercube
1605;The Motorcycle Diaries
1606;Rounders
1607;Together
1608;Blink
1609;Sleeping with the Enemy
161;Flash Gordon
1610;The Naked Gun 2Â½: The Smell of Fear
1611;Honey, I Blew Up the Kid
1612;Anacondas: The Hunt for the Blood Orchid
1613;Race for Your Life, Charlie Brown
1614;Lumumba
1615;Casino Royale
1616;Remo Williams: The Adventure Begins
1617;Lovin' Molly
1618;Bat*21
1619;Reign: The Conqueror
162;Frankenstein
1620;Cocoon
1621;Cocoon: The Return
1622;Beyond the Sea
1623;Kelly's Heroes
1624;Taegukgi
1625;In Harm's Way
1626;Urban Legend
1627;Lambada
1628;Revenge
1629;The Wizard
163;Fury
1630;The Sea Hawk
1631;Miracle Mile
1632;About Last Night
1633;Revenge of the Nerds II: Nerds in Paradise
1634;Puttin' on the Ritz
1635;Heavy
1636;North
1637;The Hole
1638;Pushing Hands
1639;Dangerous Curves
164;Man Bites Dog
1640;The Pleasure Garden
1641;The Green Mile
1642;What About Bob?
1643;Mystery Science Theater 3000: The Movie
1644;House on Haunted Hill
1645;Mr. Destiny
1646;The Manchurian Candidate
1647;Judith Krantz's Till We Meet Again
1648;Mr. Nice Guy
1649;Sister Act 2: Back in the Habit
165;Six Degrees of Separation
1650;I Know Where I'm Going!
1651;Angus
1652;Hey Arnold!: The Movie
1653;Swimming Pool
1654;The Haunting
1655;Lost Boys of Sudan
1656;Izzy & Moe
1657;Cheaters
1658;The Taking of Pelham One Two Three
1659;The Haunting
166;The Cruise
1660;Tanga
1661;Cats & Dogs
1662;Tequila Sunrise
1663;Elektra
1664;SST: Death Flight
1665;Tall Tale
1666;Congo
1667;Battle of the Bulge
1668;Mermaids
1669;House of Wax
167;Grass
1670;Fathers' Day
1671;Midway
1672;Flirting
1673;Titus
1674;Swordfish
1675;The Bourne Identity
1676;Barbarians at the Gate
1677;The Guardian
1678;Hustle
1679;Summer School
168;The Great Train Robbery
1680;( )
1681;Edge of Darkness
1682;Event Horizon
1683;Grand Prix
1684;Twisted
1685;Blue Desert
1686;Millennium
1687;Shaft
1688;Churchill: The Hollywood Years
1689;Old School
169;Greed
1690;Heroism
1691;Never Say Die
1692;Vampires
1693;Mrs. Parker and the Vicious Circle
1694;Babette's Feast
1695;Sex: The Annabel Chong Story
1696;World's Biggest Gang Bang
1697;Tape
1698;State of Grace
1699;Robin Hood
17;Ice Age
170;Hell's Hinges
1700;Peter Pan
1701;Watership Down
1702;John Carter of Mars
1703;The Hitchhiker's Guide to the Galaxy
1704;Mortal Kombat
1705;Pitch
1706;Premise
1707;Sybil
1708;Top Secret!
1709;Full Frontal
171;High School
1710;CLANNAD
1711;What the #$*! Do We Know!?
1712;Sequence
1713;Air
1714;Vanity Fair
1715;Cyberman
1716;Wimbledon
1717;Where's Charley?
1718;Hollywood
1719;Ratatouille
172;Andromeda
1720;Dark Days
1721;Rock 'n' Roll High School
1722;Gothic
1723;Hawks
1724;Bocaccio '70
1725;Ray
1726;Broken Arrow
1727;Broken Arrow
1728;Downfall
1729;By Dawn's Early Light
173;Hospital
1730;Ett hÃ¥l i mitt hjÃ¤rta
1731;Hired!
1732;Ransom
1733;Look Who's Talking Too
1734;Pirates of the Caribbean: Dead Man's Chest
1735;UngekÃ¼sst soll man nicht schlafen gehn
1736;Everyone's Child
1737;Mon oncle d'AmÃ©rique
1738;Black Sabbath
1739;Nam's Angels
174;How the West Was Won
1740;Mambo Italiano
1741;Sirens
1742;Chairman of the Board
1743;Fight Club
1744;Wicker Park
1746;The Gate
1747;The Farmer's Wife
1748;Screamers
1749;Little Nicky
175;Brazil
1750;A Lonesome, Final Battle: The Father of Z-Warrior Son GokÅ«, who Challenged Freeza
1751;Pianese Nunzio, 14 anni a maggio
1752;Passenger
1753;Somersault
1754;Pretty Baby
1755;JÃ¶nssonligan fÃ¥r guldfeber
1756;JÃ¶nssonligan spelar hÃ¶gt
1757;Ãsa-Nisse
1759;Glitter
176;The Italian
