Patricia Arquette,1040,1749,1996,478;
Vincent D'Onofrio,1040,2235,425,45;
George Steele,1040;
Bill Murray,1040,1084,1642,1882,1883,2429,2447,298,335,778,785,811,855;
Jeffrey Jones,1040,1143,1250,1346,1838,2477,266,80;
Sarah Jessica Parker,1040;
Martin Landau,1040,1320,1606,1729,1779,1859,2307;
Dolores Fuller,1040,13;
Paul Marco,1040;
Conrad Brooks,1040,13;
Johnny Depp,1040,1224,1734,2168,278,319,755,80,896;
Mike Starr,1040,1044,1351;
Maila Nurmi,1040;
Lisa Marie,1040,80;
James Darren,1041,1827;
George Chakiris,1041;
France Nuyen,1041;
Yvette Mimieux,1041;
Aline MacMahon,1041;
Shawn Doyle,1042;
James Caviezel,1042,1112,1519,1765,32,342;
Elizabeth Mitchell,1042,1975;
Dennis Quaid,1042,1458,1567,2179,2238,44;
Noah Emmerich,1042,1804,951;
Francesca Annis,1043,143;
Martin Shaw,1043;
Jon Finch,1043,427,794;
James Rebhorn,1044,1053,1797;
Charles S. Dutton,1044,1997,2409,552,696;
Alan King,1044,1290;
Candy Clark,1044;
Kenneth McMillan,1044,143,1487,549;
Drew Barrymore,1044,1079,1276,154,2425,2485,320,650,778;
Robert Hays,1044,62;
James Naughton,1044;
Henry Winkler,1045;
Michael Keaton,1045,1347,1600,1763,2,2222,2528,837,898;
Clint Howard,1045,1261,1721,302;
Shelley Long,1045,1257,1567;
Dakin Matthews,1046;
Brad Dourif,1046,1047,1048,143,1626,277,464,465,549,551;
Matthew Walker,1046;
Perrey Reeves,1046;
Andrew Robinson,1046,461;
Justin Whalin,1046,901;
Travis Fine,1046;
Catherine Hicks,1047,2371,267;
Alex Vincent,1047,1048;
Jack Colvin,1047;
Dinah Manoff,1047;
Chris Sarandon,1047,2438,36;
Christine Elise,1048;
Grace Zabriskie,1048,630;
Gerrit Graham,1048,1754;
Jenny Agutter,1048,1130;
Beth Grant,1048,289;
Greg Germann,1048,1103;
Gene Barry,1049,1050;
Les Tremayne,1049,351;
Ann Robinson,1049,351;
Erik Rhodes,105;
Eric Blore,105,147;
Ginger Rogers,105,1470,2464;
Edward Everett Horton,105,115,473;
Fred Astaire,105,2074,637;
Helen Broderick,105;
Yul Vasquez,1050;
Lenny Venito,1050;
Ricky Luna,1050;
Tim Robbins,1050,1318,1973,478,479,942,997;
Justin Chatwin,1050,1397;
David Alan Basche,1050;
Rick Gonzalez,1050,1689;
Miranda Otto,1050,2172,464,465,478;
Tom Cruise,1050,1156,1327,1454,1455,1602,333,366,479,589,698,927;
Philip Chan,1052;
Forest Whitaker,1052,1273,1376,1406,319,921,961;
Leah Ayres,1052;
Jean-Claude Van Damme,1052,2029,2092,2152;
Bolo Yeung,1052;
Norman Burton,1052;
Donald Gibb,1052;
Jude Law,1053,1805,1879,1985,1993,2024,2094,334,945,983;
Philip Seymour Hoffman,1053,1289,1296,1335,1508,1783,2101,589,719,945;
Celia Weston,1053,1353,856;
Matt Damon,1053,1098,1307,1511,1559,1606,1675,1808,285,517,545;
Sergio Rubini,1053,1213;
Jack Davenport,1053,1734,755;
Philip Baker Hall,1053,1184,1191,2038,343,589,991;
Raquel Welch,1054,1266,1742;
Teri Garr,1054,1164,1282,1351,1802,2366,417,657;
Leif Erickson,1054;
Sue Ane Langdon,1054;
Barbara Stanwyck,1054,153,2045,305,497;
Elvis Presley,1054,1247,324;
Joan Freeman,1054;
Mekhi Phifer,1055,1058,1216,1687,1851,1958;
Jessica Alba,1055,2227,2499;
Lil Romeo,1055;
Zachary Isaiah Williams,1055;
David Moscow,1055;
Jim Carrey,1056,1351,1965,2094,2465,767;
Sophie Okonedo,1056,1193;
Ian McNeice,1056,1099,1316,1981,2222,2430;
Maynard Eziashi,1056;
Tommy Davidson,1056,2182;
Bruce Spence,1056,465,656;
Simon Callow,1056,1361,1395,2152,731;
Bob Gunton,1056,1072,1426,2101;
Adewale Akinnuoye-Agbaje,1056,1666,1675;
Peter Ustinov,1057,1699,321,376,424;
Margo Martindale,1057;
Susan Sarandon,1057,1361,1410,1453,1754,1846,1879,2430,2497,313,48;
Sarah Polley,1058,1119,1489,908;
Ty Burrell,1058;
Jayne Eastwood,1058,2111;
Inna Korobkina,1058;
Ken Foree,1058;
Kim Poirier,1058;
Matt Frewer,1058,416;
Kevin Zegers,1058;
Michael Kelly,1058;
Jake Weber,1058;
Lindy Booth,1058;
Ronald Colman,106,107,348,349,817;
H. B. Warner,106,107,2143;
Charles Aznavour,1060,1509,2145;
Ryan O'Neal,1060,1820,1854,1982,2371,655;
Michael Crawford,1060;
Cerina Vincent,1061;
Jeff Hoffman,1061;
Joey Kern,1061;
Rider Strong,1061;
Jordan Ladd,1061,2085;
James DeBello,1061,2540;
Giuseppe Andrews,1061,2540;
Alison Folland,1062;
ChloÃ« Sevigny,1062,1167;
Alicia Goranson,1062;
Katherine Moennig,1062;
Jeanetta Arnette,1062;
Brendan Sexton III,1062;
Peter Sarsgaard,1062,1082,1900,51;
Lou Perryman,1062;
Hilary Swank,1062,2201;
Matt McGrath,1062,2053;
Bette Midler,1063,1315,607,786;
Lainie Kazan,1063;
James Read,1063;
Mayim Bialik,1063;
John Heard,1063,1164,1825,1847,1958,2192,455,706;
Barbara Hershey,1063,1543,2002,2416,565;
Spalding Gray,1063,1129,1956,1980,2127;
Michael Angarano,1064;
Steve Zahn,1064,1346,2030,2206,2505,298,302,391;
Hallee Hirsh,1064,391;
Elizabeth Perkins,1064,1632,1661,522,959;
Kristen Stewart,1064,921;
Don Cheadle,1065,1674,1808,44;
Gaby Hoffmann,1065,845;
Anne Heche,1065;
Michael Rispoli,1065,1606,2535;
Tommy Lee Jones,1065,1275,1427,1449,2038,2446,2526,311,425,45;
John Carroll Lynch,1065,339;
Angelyne,1065;
Meg Tilly,1066;
Glenn Close,1066,1315,1766,2304,297,602;
Tom Berenger,1066,1269,2107,319,860;
Jeff Goldblum,1066,1233,138,1661,73,936;
Kevin Kline,1066,1283,422,446,67,847,884;
William Hurt,1066,1094,1099,1353,326,334,968;
JoBeth Williams,1066;
Mary Kay Place,1066,2098,517,588,606;
Jason Statham,1067,1313,1455,1804;
Carla Gugino,1067,1350,2227,2535;
Jet Li,1067,750;
Snoop Dogg,1069,2492,385;
Juliette Lewis,1069,1224,1922,2235,442;
Ben Stiller,1069,1317,1318,1799,677,722,845,899;
Vince Vaughn,1069,1233,1234,1317,1318,1689,2211,696,779;
Margo,107,514;
John Howard,107,542,680;
Jane Wyatt,107;
Cedric the Entertainer,1070,1346,2446,722,829;
Eve,1070,829;
DeRay Davis,1070,829;
Michael Ealy,1070,829;
Robert Wisdom,1070;
Kenan Thompson,1070,1799,2378;
Queen Latifah,1070,2196,2483,529,925;
Sean Patrick Thomas,1070,829,976;
Harry J. Lennix,1070,1673,1725;
Ice Cube,1070,1305,2358,438,518,829;
Troy Garity,1070,829;
Lili Taylor,1071,1659,1693,1732,2515,393,696,898;
River Phoenix,1071,2132,2306,264;
Brendan Fraser,1071,1492,1909,645;
Bill Cobbs,1072,1300;
Denis Leary,1072,1450,17,2496,943;
Sandra Bullock,1072,1810,289,725;
Jack Black,1072,1265,1318,17,1884,393,899,967;
Benjamin Bratt,1072,1417,2171,2311,2476,44;
Glenn Shadix,1072,1742;
Wesley Snipes,1072,1269,1374,1521,1937,964;
Nigel Hawthorne,1072,1285,1437,586,870;
Sylvester Stallone,1072,1115,1196,1364,1587,2219,461,655;
Paul Perri,1072,1141,1159,1497,343;
Lena Headey,1073,1334,2214;
Jennifer Ehle,1073,2024;
Aaron Eckhart,1073,2117,2137,2273;
Jeremy Northam,1073,1504,1997,2116,725,870;
Holly Aird,1073;
Tom Hollander,1073,1734,1773,2116,2391;
Art Garfunkel,1074;
Carol Kane,1074,2331,36;
Ann-Margret,1074,1551,2079;
Candice Bergen,1074,1854,2035,284,588,606,810;
G. W. Bailey,1075,1348,1534;
Leslie Easterbrook,1075,1903;
Tim Kazurinsky,1075;
Michael Winslow,1075,1903;
Bobcat Goldthwait,1075,416,684;
Steve Guttenberg,1075,1348,1620,1621,1903,1971,353,426;
Bubba Smith,1075,1903;
David Graf,1075,1903;
Tab Thacker,1075;
George Gaynes,1075,1903,305;
Christopher Plummer,1076,1270,1298,1509,1599,1955,2039,2179,2320,343,394,41,611,715,827,989;
Henry Ian Cusick,1076;
Nick Mancuso,1077;
Brandon Lee,1077,853;
Raymond J. Barry,1077;
David Hedison,1078;
Charles Herbert,1078,2461;
Patricia Owens,1078;
Herbert Marshall,1078,116,459,460;
Betty Lou Gerson,1078,840;
Kathleen Freeman,1078;
Leonardo DiCaprio,1079,1224,1411,1432,1546,2197,532,72;
Cheryl Ladd,1079,1686;
Jeanne Sakata,1079;
Tom Skerritt,1079,1113,1585,2409,479,874,922;
Sara Gilbert,1079;
George O'Brien,108;
Janet Gaynor,108,88,90;
Margaret Livingston,108;
Dick Van Patten,1080;
Mel Brooks,1080,1217,1549;
Amy Yasbeck,1080,1217,2465,724;
Richard Lewis,1080,1772;
Megan Cavanagh,1080,1223;
Tracey Ullman,1080;
Dave Chappelle,1080,1314,391;
Isaac Hayes,1080,2236,2555,591;
Mark Blankfield,1080;
Eric Allan Kramer,1080;
Roger Rees,1080;
Patrick Stewart,1080,1223,143,2030,2509,27,28,355,387,388,484,576,641,65,699;
Matthew Porretta,1080;
Dom DeLuise,1080,2432,323,786;
Jackie Shroff,1081;
Aamir Khan,1081,2552,822;
Reema Lagoo,1081;
Urmila Matondkar,1081;
Shefali Shah,1081;
Method Man,1082,845;
Jackie Hoffman,1082;
Natalie Portman,1082,19,1985,48,53,56,69,70,78,945;
Zach Braff,1082,2030,2053;
Michael Weston,1082,1287;
Denis O'Hare,1082;
Jean Smart,1082,1489,2256,588;
Ian Holm,1082,1451,1719,175,2125,2303,2516,297,441,463,465,467,571,729,989;
P. J. Soles,1084,1390,1721,265;
John Candy,1084,1143,1487,1772,2218,380,45,775;
Sean Young,1084,1110,143,1539,1772,2121,767,84;
Harold Ramis,1084,335,380,899;
John Larroquette,1084,1352,1803,1825,2466;
Timothy Busfield,1084,1633,2132;
Warren Oates,1084,134,2218;
Judge Reinhold,1084,1207,1208,2046;
Christopher McDonald,1085,1426,1839,488;
Jack Warden,1085,1498,1742,2388,303,368,410,554,724,999;
Don Rickles,1085,1290,1554,1623;
Traylor Howard,1085,1965;
Artie Lange,1085,1689,915;
Chris Farley,1085,1796,245,365;
Norm MacDonald,1085,1346;
John Goodman,1085,1172,1390,1490,1622,1956,1972,2192,22,522,757,772;
Martin Lawrence,1086,1252,1314,1792,739;
GQ,1086;
William Fichtner,1086,1119,2235,290,53,593,74,874;
Danny DeVito,1086,1178,1255,2036,2078,2105,2253,366,416,42,517;
Billie Burke,1087,2089,2365;
Jack Haley,1087,110;
Bert Lahr,1087;
Margaret Hamilton,1087;
Ray Bolger,1087,2076,2490;
Frank Morgan,1087,2287;
Clara Blandick,1087;
Pat Walshe,1087;
Judy Garland,1087;
Adriana Caselotti,1087,221;
Terry,1087,2040;
Charles Grapewin,1087,85;
Marilyn Monroe,1088,1947;
Betty Field,1088,113,274;
Don Murray,1088,1454,1578;
Glenda Jackson,1089,561,571,576;
Lucy Saroyan,1089;
Herbert Lom,1089;
Ned Beatty,1089,1192,195,2218,299,696,802;
Sam Waterston,1089,2069,2171,277;
Lester Matthews,109,240;
Eugene Pallette,109,1569,526;
Alan Hale,109,1870;
 Sr.,109,1181,1346,1867,1870,236,732;
Patric Knowles,109;
Claude Rains,109,1630,2153,482,52,81;
 Robot,1091;
Chi McBride,1091,2256;
Bruce Greenwood,1091,1449,1670,1936,2038,2545,908;
Shia LaBeouf,1091,2061,650;
James Cromwell,1091,1107,1307,1641,28,337,451,690,979;
Will Smith,1091,1098,1252,1265,165,2506,425,456,73;
Bridget Moynahan,1091,2452;
Terry Chen,1091,2178;
Brigitte Bardot,1092,1907;
Jean-Louis Trintignant,1092,1474,200,379;
Christian Marquand,1092,2145;
Curd JÃ¼rgens,1092,2237,611;
Erik von Detten,1093,2205;
Anne Hathaway,1093,1341;
Craig Richards,1093,1254,522;
Caroline Goodall,1093,122,1364,905;
Julie Elizabeth Andrews,1093,1341,1462,247,998;
Sandra Oh,1093,2343;
Larry Miller,1093,1742,392;
Heather Matarazzo,1093,1250,1271,1311,1341;
Hector Elizondo,1093,1341,1658,974;
Mandy Moore,1093,1172,1311;
Robert Schwartzman,1093;
